Warehouse,Armazém
Align Labels to the Right,Alinhar etiquetas à direita
Align Right,Alinhar à direita
All,Todos
All Day,Dia Inteiro
Allocated To,Atribuído a
Allow Auto Repeat,Permitir repetição automática
Allow Bulk Edit,Permitir edição em massa
Allow Guest,Permitir convidado
Allow Guest to View,Permitir visualização de convidado
Allow Login using User Name,Permitir Login usando o nome de usuário
Allow Modules,Permitir Módulos
Allow Print for Cancelled,Permitir impressão para cancelado
Allow Read On All Link Options,Permitir leitura em todas as opções de link
Allow Rename,Permitir Renomear
Allow Roles,Permitir Funções
Allow Self Approval,Permitir auto-aprovação
Allow approval for creator of the document,Permitir aprovação para o criador do documento
Allow events in timeline,Permitir eventos na linha do tempo
Allow in Quick Entry,Permitir na entrada rápida
Allow on Submit,Permitir ao Enviar
Allow only one session per user,Permitir apenas uma sessão por usuário
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas
Allowed,Permitido
Allowed In Mentions,Permitido nas menções
"Always add ""Draft"" Heading for printing draft documents","Sempre adicionar ""Rascunho"" no cabeçalho para impressão de documentos não enviados"
Amend,Corrigir
Analytics,Análise
Annual,Anual
App,Aplicativo
Append To,Acrescente Para
Application Logo,Logo do aplicativo
Application Name,Nome da Aplicação
Application Version,Versão do aplicativo
Applied On,Aplicado em
Apply Strict User Permissions,Aplicar permissões de usuário estrito
Apply this rule if the User is the Owner,Aplicar esta regra se o usuário é o proprietário
Assign Condition,Atribuir condição
Assign To Users,Atribuir aos usuários
Assigned,Atribuído
Assigned By Full Name,Atribuído por Nome completo
Assigned To,Atribuído A
Assignment Completed,Atribuição Concluída
Assignment Days,Dias de atribuição
Assignment Rules,Regras de Atribuição
Attach Image,Anexar Imagem
Attach Print,Anexar cópia
Attached File,Arquivo anexo
Attached To Field,Relacionado ao campo
Attached To Name,Anexado Para Nome
Attachment,Anexo
Attachment Limit (MB),Limite de Anexo (MB)
Attachment Link,Link de Anexo
Attachment Removed,Anexo Removido
Attachments,Anexos
Auth URL Data,Dados de URL de autenticação
Author,Autor
Authorization Code,Código de autorização
Authorize API Indexing  Access,Autorizar acesso de indexação de API
Authorize Google Calendar Access,Autorizar acesso ao Google Agenda
Authorize Google Contacts Access,Autorizar o acesso dos Contatos do Google
Authorize URL,Autorizar URL
Authorized,Autorizado
Auto Name,Nome Automático
Auto Reply Message,Resposta Automática
Awaiting Password,Aguardando Senha
Awaiting password,Aguardando Senha
BCC,CCO
Background Color,Cor de Fundo
Background Workers,Trabalhadores em Segundo Plano
Banner,Faixa
Banner HTML,Faixa HTML
Barcode,Código de Barras
Base Distinguished Name (DN),Base de dados de nome distinto (DN)
Base URL,URL Base
Based On,Baseado Em
Based on Field,Com base no campo
Based on Permissions For User,Com base em permissões para o usuário
Basic,Básico
Before Cancel,Antes de Cancelar
Before Delete,Antes de excluir
Before Insert,Antes da inserção
Before Save,Antes de salvar
Before Save (Submitted Document),Antes de salvar (documento enviado)
Before Submit,Antes de enviar
Billing,Faturamento
Birth Date,Data de nascimento
Block Modules,Bloquear Módulos
Blocked,Bloqueado
Blue,Azul
Bold,Negrito
Bottom,Inferior
Brand,Marca
Brand HTML,Marca HTML
Brand Image,Imagem da Marca
Browser Version,Versão do navegador
Brute Force Security,Segurança da força bruta
Button,Botão
Button Gradients,Gradientes de botão
Button Rounded Corners,Botão Cantos Arredondados
Button Shadows,Sombras de botão
Bypass Restricted IP Address Check If Two Factor Auth Enabled,"Ignorar endereço IP restrito, verificar se a autenticação de dois fatores estiver habilitada"
Bypass restricted IP Address check If Two Factor Auth Enabled,Ignorar verificação de endereço IP restrito se dois fatores de autenticação habilitados
CC,Cc
CSS Class,Classe CSS
Calendar Name,Nome do calendário
Call To Action,Apelo à ação
Call To Action URL,URL de apelo à ação
Callback Message,Mensagem de retorno
Callback Title,Título de retorno
Campaign,Campanha
Cancelled,Cancelado
Card,Cartão
Cards,Postais
Category Description,Descrição da Categoria
Category Name,Nome da Categoria
Center,Centro
Change Label (via Custom Translation),Alterar etiqueta (via tradução personalizada)
Change Password,Alterar Senha
Channel,Canal
Chart,Gráfico
Chart Configuration,Configuração de Gráfico
Chart Name,Nome do gráfico
Chart Options,Opções de gráfico
Chart Source,Fonte do gráfico
Charts,Gráficos
Check,Verifica
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Marque esta opção se você deseja forçar o usuário a selecionar uma série antes de salvar. Não haverá nenhum padrão se você marcar isso.
Choose authentication method to be used by all users,Escolha o método de autenticação a ser usado por todos os usuários
City,Cidade
City/Town,Cidade/Município
Clicked,Clicado
Client,Cliente
Client Code,Código do cliente
Client Credentials,Credenciais no cliente
Client ID,ID do Cliente
Client Information,Informação ao cliente
Client Secret,Segredo do cliente
Close,Fechar
Close Condition,Fechar Condição
Closed,Fechado
Code,Código
Collapse All,Recolher Todos
Collapsible,Desmontável
Collapsible Depends On,Depende dobrável
Column Break,Quebra de coluna
Columns,Colunas
Columns / Fields,Colunas / Campos
Comment By,Comentário por
Comments,Comentários
Comments and Communications will be associated with this linked document,Comentários e comunicações serão associados com este documento relacionado
Commit,Comprometer
Communication,Comunicação
Company Introduction,Introdução da Empresa
Company Name,Nome da Empresa
Complete,Concluído
Completed,Concluído
Contact Details,Detalhes do Contato
Contact Numbers,Números de contato
Contacts,Contatos
Context,Contexto
Continue,Continuar
Contributed,Contribuído
Contribution Document Name,Nome do documento de contribuição
Copyright,Direitos autorais
Counter,Contador
Country,País
Country Name,Nome do País
County,Distrito
Create,Criar
Create Entry,Criar entrada
Cron Format,Formato Cron
Currency,Moeda
Currency Name,Nome da Moeda
Currency Precision,Precisão de moeda
Custom CSS,CSS Personalizado
Custom Configuration,Configuração Personalizada
Custom Format,Formato Personalizado
Custom HTML Help,Ajuda HTML Personalizado
Custom Options,Opções Personalizadas
Custom Overrides,Substituições personalizadas
Custom Report,Relatório Personalizado
Custom SCSS,SCSS personalizado
Daily,Diário
Daily Long,Diário Longo
Danger,Perigo
Dark Color,Cor Escura
Date,Data
Date Format,Formato de Data
Date and Number Format,Data e Formato de número
Datetime,Data e Hora
Day of Week,Dia da Semana
Days After,Dias Após
Days Before,Dias Antes
Days Before or After,Dias Antes ou Após
Dear,Caro
"Dear System Manager,","Caro Administrador de Sistema,"
Default,Padrão
Default Letter Head,Papel Timbrado Padrão
Default Portal Home,Página inicial do portal padrão
Default Print Format,Formato de impressão padrão
Default Print Language,Idioma de impressão padrão
Default Redirect URI,Padrão de redirecionamento URI
Default Role at Time of Signup,Função padrão no momento da inscrição
Default Sort Field,Campo de classificação padrão
Default Sort Order,Ordem de classificação padrão
Default Value,Valor padrão
"Default: ""Contact Us""","Padrão: ""Fale Conosco"""
Defaults,Padrões
Delete,Excluir
Delete,Excluir
Deleted Name,Nome Excluído
Department,Departamento
Depends On,Depende de
Description,Descrição
Designation,Designação
Desk Access,Acesso ao Ambiente de Trabalho
Digits,Dígitos
Disable Auto Refresh,Desativar atualização automática
Disable Count,Desativar Contagem
Disable SMTP server authentication,Desativar autenticação do servidor SMTP
Disable Sidebar Stats,Desativar Estatísticas da Barra Lateral
Disabled,Desativado
Display Depends On,Visualização depende
Document,Documento
Document Actions,Ações do Documento
Document Link,Link do Documento
Document Links,Links de documentos
Document Name,Nome do Documento
Document Share,Partilha de Documentos
Document States,Documento Unidos
Document Tag,Etiqueta de Documento
Document Title,Título do documento
Documentation Link,Link da documentação
Documentation URL,URL de documentação
Domains HTML,Domínios HTML
Done,Feito
Donut,Rosquinha
Download,Baixar
Download,Baixar
Download Template,Baixar Modelo
Draft,Rascunho
Due Date,Data de Vencimento
Due Date Based On,Data de vencimento baseada em
Duplicate,Duplicar
Duration,Duração
Dynamic Filters,Filtros Dinâmicos
Dynamic Filters JSON,Filtros dinâmicos JSON
Dynamic Filters Section,Seção de Filtros Dinâmicos
Dynamic Report Filters,Filtros dinâmicos de relatórios
Dynamic Route,Rota Dinâmica
Dynamic Template,Modelo dinâmico
Edit,Editar
Edit,Editar
Edit,Editar
Edit,Editar
Email Inbox,Caixa de Entrada
Email Sent At,E-mail enviado em
Enable,Permitir
Enable Auto Reply,Ativar resposta automática
Enable Automatic Linking in Documents,Ativar Vinculação Automática em Documentos
Enable Comments,Ativação de comentários
Enable Password Policy,Ativar política de senha
Enable Print Server,Ativar servidor de impressão
Enable Raw Printing,Ativar impressão bruta
Enable Scheduled Jobs,Ativar Tarefas Agendadas
Enable Security,Ativar segurança
Enable Social Login,Ativar Login Social
End Date,Data Final
End Date Field,Campo de data final
Ends on,Termina em
Energy Point,Ponto de energia
Enter Value,Digite o Valor
Error,Erro
Error,Erro
Event Category,Categoria do Evento
Example,Exemplo
Example: #Tree/Account,Exemplo: # árvore / conta
Example: 00001,Exemplo: 00001
Exception,Exceção
Expand All,Expandir Todos
Expert,Especialista
Expiration time,Data de validade
Expired,Expirado
Expires In,Expira em
Expires On,Expira Em
Expiry time of QR Code Image Page,Tempo de expiração da página de imagem de código QR
Export From,Exportar de
Expose Recipients,Mostrar Destinatários
"Expression, Optional","Expressão, Opcional"
Failed,Falhou
Feedback,Comentários
Female,Feminino
Fetch From,Buscar de
Field Description,Descrição do Campo
Field to Track,Campo para rastrear
File Information,Informações do arquivo
File Name,Nome do arquivo
File Size,Tamanho do arquivo
File URL,URL do arquivo
Filter Data,Filtrar dados
Filter Meta,Filtrar Meta
Filter Values,Valores de filtro
Filters,Filtros
Filters Configuration,Configuração de Filtros
Filters Display,Exibição dos Filtros
Filters JSON,Filtros JSON
Filters Section,Seção de Filtros
Finished,Acabado
First Success Message,Primeira mensagem de sucesso
Flag,Bandeira
Float Precision,Precisão de Casas Decimais
Fold,Dobrar
Folder,Pasta
Font Properties,Propriedades da fonte
Font Size,Tamanho da Fonte
Fonts,Fontes
Footer,Rodapé
Footer HTML,HTML de rodapé
Footer Items,Itens do Rodapé
Footer Logo,Logotipo do rodapé
Footer Template,Modelo de rodapé
Footer Template Values,Valores de modelo de rodapé
Footer will display correctly only in PDF,Rodapé será exibido corretamente somente em PDF
For Value,Por valor
For example: {} Open,Por exemplo: {} Abra
"For more information, <a class=""text-muted"" href=""https://docs.frappe.io/erpnext/user/manual/en/linking-emails-to-document"">click here</a>.","Para mais informações, <a class=""text-muted"" href=""https://docs.frappe.io/erpnext/user/manual/en/linking-emails-to-document"">clique aqui</a>."
Force,Força
Force Show,Forçar Exibição
Force User to Reset Password,Forçar usuário a redefinir a senha
Form Settings,Configurações de formulário
Form URL-Encoded,Codificado em URL do formulário
Format Data,Formato de dados
Fraction,Fração
Fraction Units,Unidades Fracionadas
From,De
From,De
From Date,Data De
From Date Field,Do campo de data
From Full Name,De nome completo
Full,Cheio
Full Width,Largura completa
GMail,Gmail
Generate Keys,Gerar Chaves
Geolocation,Geolocalização
Get Contacts,Obter contatos
Get Items,Obter Itens
Get your globally recognized avatar from Gravatar.com,Obtenha seu avatar globalmente reconhecido de Gravatar.com
Global Unsubscribe,Cancelar Inscrição Global
Go to Page,Vá para página
Google Analytics ID,ID do Google Analytics
Google Calendar Event ID,ID do evento do Google Agenda
Google Calendar ID,ID da Agenda do Google
Green,Verde
Group,Grupo
Group By,Agrupar Por
Group By Based On,Agrupar por Com base em
Group By Type,Agrupar por tipo
Group Node,Grupo de Nós
HH:mm,HH: mm
HTML Editor,Editor de HTML
HTML Page,Página HTML
HTML for header section. Optional,HTML para a seção de cabeçalho. opcional
Half,Metade
Header,Cabeçalho
Header HTML,HTML de cabeçalho
Headers,Cabeçalhos
Heatmap,Mapa de calor
"Hello,","Olá,"
Help,Ajuda
Help Articles,Artigos de Ajuda
Help HTML,Ajuda HTML
Hide Block,Esconder o Bloco
Hide Border,Ocultar borda
Hide Copy,Ocultar Cópia
Hide Days,Ocultar dias
Hide Seconds,Ocultar segundos
High,Alto
Higher priority rule will be applied first,Regra de prioridade mais alta será aplicada primeiro
Highlight,Realçar
Home,Início
Home Page,Pagina inicial
Home Settings,Configurações iniciais
Hourly,De hora em hora
Hourly Long,Por hora
Hourly rate limit for generating password reset links,Limite de taxa por hora para gerar links de redefinição de senha
Hours,Horas
"How should this currency be formatted? If not set, will use system defaults","Como essa moeda deve ser formatada? Se não for definido, serão usados os padrões do sistema"
IP Address,Endereço de IP
Icon will appear on the button,O ícone aparecerá no botão
Identity Details,Detalhes da identidade
"If checked, all other workflows become inactive.","Se marcada, todos os outros fluxos de trabalho tornam-se inativos."
"If disabled, this role will be removed from all users.",Se esta função for desativada será removida em todos os usuários.
"If enabled, changes to the document are tracked and shown in timeline","Se ativado, as alterações no documento são rastreadas e mostradas na linha do tempo"
"If enabled, document views are tracked, this can happen multiple times","Se ativado, as visualizações de documentos são rastreadas, isso pode acontecer várias vezes"
"If enabled, the document is marked as seen, the first time a user opens it","Se ativado, o documento é marcado como visto, a primeira vez que um usuário o abre"
"If enabled, the notification will show up in the notifications dropdown on the top right corner of the navigation bar.","Se ativada, a notificação aparecerá na lista suspensa de notificações no canto superior direito da barra de navegação."
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Se ativado, os usuários serão notificados sempre que iniciarem sessão. Se não estiver ativado, os usuários só serão notificados uma vez."
If non standard port (e.g. 587),"Se não for a porta padrão (por exemplo, 587)"
"If not set, the currency precision will depend on number format","Se não for definido, a precisão da moeda dependerá do formato de número"
If user is the owner,Se o usuário é o proprietário
Ignore XSS Filter,Ignorar Filtro XSS
Ignore attachments over this size,Ignorar anexos maiores que este tamanho
Ignored Apps,Aplicativos ignorados
Image,Imagem
Image Field,Campo de Imagem
Image Link,Link da Imagem
Implicit,Implícito
Import,Importar
Import,Importar
Import File,Importar arquivo
Import File Errors and Warnings,Erros e avisos de importação de arquivos
Import Log Preview,Visualização do registro de importação
Import Preview,Visualização de importação
Import Warnings,Avisos de importação
Import from Google Sheets,Importar do Planilhas Google
In Days,Em dias
In Filter,No Filtro da Lista
In Global Search,Na Busca Global
In Preview,Na pré-visualização
In Progress,Em Progresso
In Reply To,Em resposta a
In Standard Filter,Em Filtro Padrão
In points. Default is 9.,Em pontos. O padrão é 9.
In seconds,Em segundos
Include Search in Top Bar,Incluem a busca no Top Bar
Incoming,Entrada
Indicator,Indicador
Info,Informações
Initial Sync Count,Contagem de sincronização inicial
Insert New Records,Inserir novos registros
Insert Style,Inserir Estilo
Int,Inteiro
Introduce your company to the website visitor.,Apresente sua empresa para o visitante do site.
Introductory information for the Contact Us Page,Informação introdutória para a página Fale Conosco
Invalid Credentials,Credenciais Inválidas
Invalid URL,URL inválida
Inverse,Inverso
Is Active,É Ativo
Is Attachments Folder,É Pasta de Anexos
Is Complete,Está completo
Is Completed,Está completo
Is Custom Field,É campo personalizado
Is Folder,É Pasta
Is Mandatory Field,É campo obrigatório
Is Optional State,É estado opcional
Is Primary,É primário
Is Primary Contact,É o contato principal
Is Primary Mobile,É o Telemóvel principal
Is Primary Phone,É o telefone principal
Is Private,É privada
Is Public,É público
Is Published Field,É Publicado campo
Is Skipped,É pulado
Is Standard,É Padrão
Is Table,É Tabela
Is Tree,É árvore
Is Unique,É único
JSON Request Body,Corpo da solicitação JSON
Kanban Board,Painel Kanban
Key,Chave
LDAP First Name Field,Campo Primeiro Nome do LDAP
LDAP Group,Grupo LDAP
LDAP Group Field,Campo do Grupo LDAP
LDAP Group Mappings,Mapeamentos de grupo LDAP
LDAP Last Name Field,Campo Sobrenome LDAP
LDAP Middle Name Field,Campo de nome do meio LDAP
LDAP Mobile Field,Campo Móvel LDAP
LDAP Phone Field,Campo de telefone LDAP
LDAP Search String,Palavra de Busca do LDAP
LDAP Security,Segurança LDAP
LDAP User Creation and Mapping,Criação e Mapeamento de Usuários LDAP
LDAP Username Field,Campo Nome de Usuário do LDAP
Label Help,Ajuda sobre Etiquetas
Label and Type,Etiqueta e Tipo
Landing Page,Página de chegada
Language Code,Código do Idioma
Language Name,Nome do Idioma
Last Active,Ativo pela última vez
Last Execution,Última Execução
Last IP,Último IP
Last Known Versions,Últimas versões conhecidas
Last Login,Último Login
Last Month,Mês passado
Last Password Reset Date,Data da última redefinição de senha
Last Quarter,Ultimo quarto
Last Sync On,Última sincronização em
Last Synced On,Última sincronização em
Last User,Último usuário
Last Week,Semana passada
Last Year,Ano passado
Leave blank to repeat always,Deixe em branco para repetir sempre
Ledger,Livro Razão
Letter,Carta
Letter Head Based On,Papel Timbrado Baseado em
Letter Head Image,Imagem do Papel Timbrado
Letter Head Name,Nome do Papel Timbrado
Letter Head in HTML,Papel Timbrado em HTML
Light Color,Cor clara
Likes,Gostos
Limit,Limite
Line,Linha
Link Cards,Cartões de ligação
Link Fieldname,Nome do campo do link
Link Name,Nome do Link
Link Title,Título do Link
Link To,Link para
Link to the page you want to open. Leave blank if you want to make it a group parent.,Link para a página que você deseja abrir. Deixe em branco se você quiser torná-lo um pai grupo.
Linked,Relacionado
List,Lista
Load Balancing,Balanceamento de carga
Location,Localização
Log,Registo
Logout,Sair
Logout All Sessions on Password Reset,Sair de todas as sessões ao redefinir a senha
Logout From All Devices After Changing Password,Saia de todos os dispositivos após alterar a senha
Long Text,Texto Longo
Low,Baixo
Madam,Senhora
Main Section,Seção Principal
Main Section (HTML),Seção Principal (HTML)
Main Section (Markdown),Seção Principal (Remarcação)
Maintenance Manager,Gerente de Manutenção
Maintenance User,Usuário da Manutenção
Male,Masculino
Mandatory,Obrigatório
Mandatory Depends On,Obrigatório Depende
Map route parameters into form variables. Example <code>/project/&lt;name&gt;</code>,Mapeie os parâmetros da rota em variáveis de formulário. Exemplo <code>/project/&lt;name&gt;</code>
Markdown Editor,Editor de Markdown
Master,Cadastro
Max Attachments,Máx. de Anexos
Max Length,Comprimento máximo
Max Value,Max Valor
Maximum,Máximo
Maximum Number of Fields,Número Máximo de Campos
Medium,Médio
Mention,Menção
Mentions,Menções
Merge with existing,Mesclar com existente
Message Examples,Exemplos de Mensagens
Message ID,ID da Mensagem
Message Parameter,Parâmetro da mensagem
Message Sent,Mensagem Enviada
Method,Método
Middle Name,Nome do Meio
Minimum,Mínimo
Miss,Senhorita
Missing Values Required,Faltando Valores Obrigatórios
Mobile,Móvel
Mobile No,Telemóvel
Module Name,Nome do Módulo
Modules HTML,Módulos HTML
Month,Mês
Monthly,Mensal
Monthly Long,Mensalmente Longo
More Information,Mais Informações
More content for the bottom of the page.,Mais conteúdo na parte de baixo da página.
Move,Mover
Must be a publicly accessible Google Sheets URL,Deve ser um URL de planilhas do Google acessível publicamente
Mute Sounds,Desativar Sons
Name,Nome
Naming,Nomeação
New,Novo
New value to be set,Novo valor a ser definido
Next,Próximo
Next,Próximo
Next Schedule Date,Próxima data programada
No,Não
No,Não
No,Não
No Copy,Nenhuma Cópia
No Data,Sem Dados
No data to export,Nenhum dado para exportar
Non Negative,Não Negativo
Non-Conforming,Não conforme
None,Nenhum
Not Allowed,Não Desejados
Not Permitted,Não Permitido
Not active,Inativo
Not permitted,Não Permitido
Note,Nota
"Note: For best results,  images must be of the same size and width must be greater than height.","Nota: Para obter melhores resultados, as imagens devem ter o mesmo tamanho e a largura deve ser maior que a altura."
Note: Multiple sessions will be allowed in case of mobile device,Observação: Serão permitidas múltiplas sessões no caso de dispositivo móvel
Notify if unreplied,Informar se não for respondido
Notify if unreplied for (in mins),Informar se não for respondido em (minutos)
Number,Número
Number Format,Formato de número
Number of Backups,Número de Backups
Number of Groups,Número de Grupos
OTP App,Aplicação OTP
OTP Issuer Name,Nome da Emissora OTP
Off,Desligado
Office,Escritório
On Hold,Em Espera
Only Allow Edit For,Somente permite edição para
Only Send Records Updated in Last X Hours,Somente Enviar Registros Atualizados em Últimas X Horas
Open,Aberto
Open,Aberto
Open Documents,Documentos abertos
Open Reference Document,Documento de Referência Aberto
Open URL in a New Tab,Abrir URL em uma nova guia
Opened,Inaugurado
Operation,Operação
Optional: The alert will be sent if this expression is true,Opcional: O alerta será enviado se essa expressão é verdadeira
Options Help,Ajuda sobre Opções
Order,Pedido
Org History,História da Organização
Org History Heading,Cabeçalho da História da Organização
Other,Outro
Outgoing,Saída
Output,Saída
Owner,Proprietário
PDF Page Size,Tamanho da página PDF
PDF Settings,Configurações do PDF
Page Building Blocks,Blocos de construção de página
Page HTML,Página HTML
Page Name,Nome da Página
Page Settings,Configurações da página
Page {0} of {1},Página {0} de {1}
Parent Label,Etiqueta Pai
Passive,Passivo
Password Reset Link Generation Limit,Limite de geração de link de redefinição de senha
Password for Base DN,Senha para DN de base
Patch,Remendo
Path to Server Certificate,Caminho para o certificado do servidor
Path to private Key File,Caminho para o arquivo de chaves privado
Pending,Pendente
Pending Approval,Aprovação pendente
Percentage,Percentagem
Period,Período
Perm Level,Nível Permanente
Permanent,Permanente
Permission Rules,Regras de Permissão
Personal,Pessoal
Phone,Telefone
Pie,Torta
Plant,Fábrica
Port,Porta
Position,Posição
Precision,Precisão
Prefer not to say,Prefiro não dizer
Preferred Billing Address,Endereço preferido de faturamento
Preferred Shipping Address,Endereço preferido para entrega
Prefix,Prefixo
Preview,Pré-visualização
Preview HTML,Pré-visualização de HTML
Preview Message,Visualizar mensagem
Primary,Primário
Primary Color,Cor primária
Print,Impressão
Print,Impressão
Print Format Help,Ajuda sobre Formatos de Impressão
Print Format Type,Tipo do Formato de Impressão
Print Heading,Cabeçalho de Impressão
Print Hide,Ocultar Impressão
Print Hide If No Value,Ocultar Impressão se não Preenchido
Print Server,Servidor de impressão
Print Style Name,Nome do estilo de impressão
Print Style Preview,Estilo de visualização de impressão
Print Width,Largura de impressão
"Print Width of the field, if the field is a column in a table","Largura de impressão do campo, se o campo é uma coluna na tabela"
Print with letterhead,Imprimir com o timbre
Printer Name,Nome da impressora
Priority,Prioridade
Project,Projeto
Property Depends On,Propriedade depende
Provider,Fornecedor
Provider Name,Nome do provedor
Pull from Google Calendar,Puxe do Google Agenda
Pulled from Google Calendar,Extraído do Google Agenda
Pulled from Google Contacts,Extraído dos Contatos do Google
Purchase Manager,Gerente de Compras
Purchase Master Manager,Gerente de Cadastros de Compras
Purchase User,Usuário de Compra
Push to Google Calendar,Enviar para o Google Agenda
Push to Google Contacts,Enviar para os Contatos do Google
Quarterly,Trimestralmente
Query,Consulta
Query Options,Opções de Consulta
Quick Entry,Entrada Rápida
RAW Information Log,Registro de informações RAW
Range,Alcance
Read Only Depends On,Somente leitura depende
Read by Recipient,Lido por destinatário
Read by Recipient On,Lido por destinatário ativado
Reason,Motivo
Received,Recebido
Receiver By Document Field,Receptor por campo de documento
Receiver By Role,Receptor por função
Receiver Parameter,Parâmetro do recebedor
Recipient,Destinatário
Recipient Unsubscribed,Destinatário com inscrição cancelada
Recipients,Destinatários
Red,Vermelho
Redirect URL,Redirecionar URL
Reference,Referência
Reference Date,Data de Referência
Reference DocName,Nome do Documento de Referência
Reference Docname,Nome do Documento de Referência
Reference Name,Nome de Referência
Reference Owner,Proprietário de Referência
Reference Report,Relatório de referência
Reference name,Nome de Referência
Refresh,Atualizar
Refresh Google Sheet,Atualizar planilha do Google
Relinked,Religado
Remember Last Selected Value,Lembrar última seleção
Rename,Renomear
Reopen,Reabrir
Repeat On,Repetir em
Repeat Till,Repita até que
Repeat on Day,Repetir no dia
Repeat on Last Day of the Month,Repetir no último dia do mês
Repeat this Event,Repita este evento
Replied,Respondido
Report,Relatório
Report Description,Descrição do relatório
Report Filters,Filtros de relatório
Report Hide,Ocultar Relatório
Report Information,Informações do Relatório
Reports,Relatórios
Request Data,Solicitar Dados
Request Structure,Estrutura da solicitação
Request URL,URL do pedido
Require Trusted Certificate,Exigir certificado confiável
Reset,Redefinir
Reset Password Key,Redefinição de senha chave
Response,Resposta
Restored,Restaurado
Restrict IP,Restringir IP
Restrict To Domain,Restringir ao domínio
Restrict to Domain,Restringir ao domínio
Reverse Icon Color,Inverta Ícone Cor
Revoked,Revogado
Role Name,Nome da Função
Role and Level,Função e Nível
Roles Assigned,Funções Atribuídas
Roles HTML,Funções HTML
Round Robin,Robin Redondo
Route Redirects,Redirecionamentos de rota
Row Index,Índice de linhas
Row Name,Nome da Linha
Rule,Regra
Rule Conditions,Condições da regra
Rules with higher priority number will be applied first.,Regras com número de prioridade mais alta serão aplicadas primeiro.
Run Jobs only Daily if Inactive For (Days),Executar trabalhos apenas diariamente se inativo por (dias)
Run scheduled jobs only if checked,As tarefas agendadas somente serão executadas se a opção estiver marcada
SSL/TLS Mode,Modo SSL / TLS
Sales Manager,Gerente de Vendas
Sales Master Manager,Gerente de Cadastros de Vendas
Sales User,Usuário de Vendas
Sample,Amostra
Save,Salvar
Scheduled Job,Trabalho agendado
Scheduler Inactive,Agendador Inativo
Scheduler is inactive. Cannot import data.,O agendador está inativo. Não é possível importar dados.
Search,Pesquisar
Search Fields,Campos de Pesquisa
Search Priorities,Prioridades de pesquisa
Section,Seção
Section Break,Quebra de seção
Security Settings,Configurações de Segurança
Seen By,Visto por
Seen By Table,Visto por tabela
Select,Selecionar
Select Date Range,Selecionar período
Select Transaction,Selecione a Transação
Select the label after which you want to insert new field.,Selecione a etiqueta após a qual você deseja inserir um novo campo.
Send,Enviar
Send,Enviar
